Date,Open,High,Low,Close,Adj Close,Volume
2020-12-22,72500.0,73200.0,72100.0,72300.0,67206.0234375,16304910
2020-12-23,72400.0,74000.0,72300.0,73900.0,68693.28125,19411326
2020-12-24,74100.0,78800.0,74000.0,77800.0,72318.5,32502870
2020-12-28,79000.0,80100.0,78200.0,78700.0,73155.09375,40085044
2020-12-29,78800.0,78900.0,77300.0,78300.0,74615.0078125,30339449
2020-12-30,77400.0,81300.0,77300.0,81000.0,77187.9453125,29417421
2021-01-04,81000.0,84400.0,80200.0,83000.0,79093.8046875,38655276
2021-01-05,81600.0,83900.0,81600.0,83900.0,79951.4453125,35335669
2021-01-06,83300.0,84500.0,82100.0,82200.0,78331.453125,42089013
2021-01-07,82800.0,84200.0,82700.0,82900.0,78998.515625,32644642
2021-01-08,83300.0,90000.0,83000.0,88800.0,84620.8515625,59013307
2021-01-11,90000.0,96800.0,89500.0,91000.0,86717.3046875,90306177
2021-01-12,90300.0,91400.0,87800.0,90600.0,86336.140625,48682416
2021-01-13,89800.0,91200.0,89100.0,89700.0,85478.4921875,36068848
2021-01-14,88700.0,90000.0,88700.0,89700.0,85478.4921875,26393970
2021-01-15,89800.0,91800.0,88000.0,88000.0,83858.4921875,33431809
2021-01-18,86600.0,87300.0,84100.0,85000.0,80999.6875,43227951
2021-01-19,84500.0,88000.0,83600.0,87000.0,82905.546875,39895044
2021-01-20,89000.0,89000.0,86500.0,87200.0,83096.1484375,25211127
2021-01-21,87500.0,88600.0,86500.0,88100.0,83953.78125,25318011
2021-01-22,89000.0,89700.0,86800.0,86800.0,82714.9609375,30861661
2021-01-25,87000.0,89900.0,86300.0,89400.0,85192.6015625,27258534
2021-01-26,88800.0,89200.0,86500.0,86700.0,82619.6640625,33178936
2021-01-27,86600.0,87700.0,85600.0,85600.0,81571.453125,26423070
2021-01-28,83200.0,85600.0,83200.0,83700.0,79760.8515625,31859808
2021-01-29,84500.0,85000.0,82000.0,82000.0,78140.859375,39615978
2021-02-01,81700.0,83400.0,81000.0,83000.0,79093.8046875,28046832
2021-02-02,84100.0,86400.0,83700.0,84400.0,80427.9296875,26302077
2021-02-03,84800.0,85400.0,83400.0,84600.0,80618.5078125,22112205
2021-02-04,83500.0,83800.0,82100.0,82500.0,78617.3359375,24171688
2021-02-05,83100.0,84000.0,82500.0,83500.0,79570.265625,18036835
2021-02-08,83800.0,84200.0,83000.0,83000.0,79093.8046875,15338765
2021-02-09,84000.0,84800.0,82700.0,82700.0,78807.9375,20898332
2021-02-10,82600.0,82600.0,81600.0,81600.0,77759.6953125,23025766
2021-02-15,83800.0,84500.0,83300.0,84200.0,80237.3359375,23529706
2021-02-16,84500.0,86000.0,84200.0,84900.0,80904.3984375,20483100
2021-02-17,83900.0,84200.0,83000.0,83200.0,79284.3828125,18307735
2021-02-18,83200.0,83600.0,82100.0,82100.0,78236.1640625,21327683
2021-02-19,82300.0,82800.0,81000.0,82600.0,78712.625,25880879
2021-02-22,83800.0,84200.0,82200.0,82200.0,78331.453125,25419886
